order_id,order_date,region,channel,amount,returned
1000,2024-01-15,Central,Partner,1927.39,false
1001,2024-01-15,North,Online,663.16,false
1002,2024-01-28,West,Partner,988.53,false
1003,2024-01-03,Central,Direct,2135.41,false
1004,2024-01-08,Central,Online,1958.64,false
1005,2024-01-23,North,Retail,1678.94,true
1006,2024-01-08,East,Direct,771.32,false
1007,2024-01-01,East,Partner,1683.51,false
1008,2024-01-24,Central,Online,2126.24,false
1009,2024-01-26,North,Direct,815.78,true
1010,2024-01-14,North,Online,2369.00,false
1011,2024-01-10,West,Partner,1523.20,false
1012,2024-01-18,West,Online,766.62,false
1013,2024-01-26,Central,Online,2074.00,false
1014,2024-01-12,North,Online,472.67,false
1015,2024-01-16,Central,Retail,1031.31,false
1016,2024-01-18,East,Online,1937.01,false
1017,2024-01-24,North,Partner,1391.63,false
1018,2024-01-18,East,Retail,682.65,true
1019,2024-01-10,East,Retail,2491.11,false
1020,2024-01-17,North,Direct,1523.79,false
1021,2024-01-04,North,Direct,1726.86,false
1022,2024-01-22,West,Direct,928.71,false
1023,2024-01-13,North,Direct,942.21,false
1024,2024-01-15,North,Online,1412.28,false
1025,2024-01-27,North,Direct,2365.30,false
1026,2024-01-18,East,Retail,1358.82,false
1027,2024-01-07,North,Retail,2497.79,false
1028,2024-01-07,West,Retail,1817.59,false
1029,2024-01-08,North,Partner,1962.00,false
1030,2024-01-07,West,Direct,528.22,true
1031,2024-01-07,North,Retail,698.99,false
1032,2024-01-08,North,Online,941.05,true
1033,2024-01-23,North,Direct,292.18,false
1034,2024-01-06,West,Retail,1029.86,false
1035,2024-01-12,West,Partner,1730.52,false
1036,2024-01-09,West,Direct,2315.53,false
1037,2024-01-02,North,Direct,1456.99,false
1038,2024-01-26,Central,Direct,2199.87,true
1039,2024-01-12,East,Online,1255.07,false
1040,2024-01-18,Central,Partner,1714.56,true
1041,2024-01-23,East,Retail,510.63,false
1042,2024-01-01,North,Partner,302.95,false
1043,2024-01-20,North,Online,129.06,false
1044,2024-01-24,West,Retail,1033.13,false
1045,2024-01-11,West,Direct,1717.88,false
1046,2024-01-01,North,Online,969.09,false
1047,2024-01-05,West,Partner,1055.79,false
1048,2024-01-08,East,Partner,511.42,false
1049,2024-01-24,East,Direct,419.52,false
1050,2024-01-03,Central,Partner,1902.01,false
1051,2024-01-17,West,Direct,281.61,true
1052,2024-01-15,South,Retail,589.83,false
1053,2024-01-05,South,Partner,1138.81,false
1054,2024-01-13,East,Online,1672.76,false
1055,2024-01-24,North,Direct,2196.85,false
1056,2024-01-19,South,Online,2291.63,false
1057,2024-01-28,South,Partner,1156.29,false
1058,2024-01-24,West,Online,1655.45,false
1059,2024-01-02,North,Partner,339.95,false
1060,2024-01-08,West,Partner,1737.32,false
1061,2024-01-06,North,Partner,1523.69,false
1062,2024-01-21,West,Direct,2419.76,false
1063,2024-01-27,North,Direct,443.18,false
1064,2024-01-12,South,Online,842.26,false
1065,2024-01-27,South,Retail,863.98,false
1066,2024-01-09,North,Retail,743.51,false
1067,2024-01-22,Central,Online,836.71,false
1068,2024-01-07,Central,Online,722.51,false
1069,2024-01-08,South,Direct,1633.08,false
1070,2024-01-17,Central,Online,1734.77,false
1071,2024-01-22,East,Online,2078.83,false
1072,2024-01-06,Central,Direct,351.47,false
1073,2024-01-10,West,Partner,940.70,false
1074,2024-01-13,North,Direct,2061.03,true
1075,2024-01-17,South,Online,1908.47,false
1076,2024-01-18,West,Direct,1641.77,false
1077,2024-01-28,East,Direct,504.38,true
1078,2024-01-09,South,Retail,303.93,false
1079,2024-01-14,Central,Direct,2015.66,false
1080,2024-01-01,South,Direct,1997.90,false
1081,2024-01-25,East,Retail,1122.38,true
1082,2024-01-19,West,Retail,1749.17,false
1083,2024-01-25,North,Retail,1494.73,false
1084,2024-01-09,North,Direct,2426.63,false
1085,2024-01-19,North,Retail,877.14,false
1086,2024-01-26,Central,Partner,926.59,false
1087,2024-01-10,North,Partner,1868.19,false
1088,2024-01-12,North,Direct,2035.78,false
1089,2024-01-28,Central,Partner,1136.91,false
1090,2024-01-06,North,Direct,817.34,false
1091,2024-01-09,Central,Direct,1788.31,false
1092,2024-01-13,East,Direct,975.25,false
1093,2024-01-13,North,Retail,1162.23,false
1094,2024-01-06,South,Retail,688.24,false
1095,2024-01-06,Central,Online,661.93,false
1096,2024-01-12,Central,Retail,1928.01,false
1097,2024-01-08,Central,Direct,1934.04,false
1098,2024-01-19,East,Direct,1931.34,false
1099,2024-01-24,South,Online,777.67,false
1100,2024-01-26,Central,Online,1423.61,true
1101,2024-01-13,North,Partner,2152.23,false
1102,2024-01-20,North,Online,301.22,false
1103,2024-01-22,South,Direct,2204.19,false
1104,2024-01-10,Central,Online,2188.54,false
1105,2024-01-22,Central,Partner,1274.74,false
1106,2024-01-20,West,Direct,2407.84,false
1107,2024-01-23,Central,Direct,574.67,false
1108,2024-01-11,Central,Partner,2499.63,false
1109,2024-01-10,Central,Retail,1664.56,true
1110,2024-01-06,Central,Retail,2437.27,false
1111,2024-01-07,East,Retail,1301.31,false
1112,2024-01-04,East,Online,470.85,false
1113,2024-01-18,West,Direct,1412.01,false
1114,2024-01-03,North,Partner,1927.19,false
1115,2024-01-16,East,Partner,1529.01,false
1116,2024-01-10,West,Partner,1164.96,false
1117,2024-01-09,West,Retail,782.90,false
1118,2024-01-14,North,Retail,358.51,false
1119,2024-01-21,Central,Retail,2388.37,true
1120,2024-01-22,East,Retail,1100.59,false
1121,2024-01-10,East,Direct,1086.54,false
1122,2024-01-20,East,Partner,1382.69,false
1123,2024-01-05,Central,Online,1799.20,false
1124,2024-02-19,North,Retail,430.70,false
1125,2024-02-15,Central,Retail,767.98,false
1126,2024-02-01,West,Direct,696.13,false
1127,2024-02-07,Central,Direct,809.45,false
1128,2024-02-20,Central,Online,202.48,false
1129,2024-02-01,North,Partner,191.34,true
1130,2024-02-16,South,Online,1281.36,false
1131,2024-02-21,East,Direct,2078.28,false
1132,2024-02-08,West,Retail,404.61,false
1133,2024-02-06,North,Online,1601.06,false
1134,2024-02-07,Central,Retail,1461.44,false
1135,2024-02-26,Central,Online,1862.75,false
1136,2024-02-13,North,Partner,1310.74,false
1137,2024-02-22,South,Partner,1189.63,false
1138,2024-02-13,North,Retail,610.84,false
